Precio,Titulo,Ubicacion,Enlace,Titulo_Limpio,Precio_Num,Categoria,Marca,Producto,Modelo,Estado,Segmento,Distrito_Limpio
S/1.300,remato iphone 13 de 128 gb,"san juan de lurigancho, lm",https://www.facebook.com/marketplace/item/1834147477303724/,remato iphone 13 de 128 gb,1300,Dispositivos móviles,Apple,Smartphone,iPhone 13,Usado (No especificado),Estándar,San Juan De Lurigancho
S/499,pantalla imac 27 pulgadas 2k para imac buen estado.,"lima, lm",https://www.facebook.com/marketplace/item/1407213864409409/,pantalla imac 27 pulgadas 2k para imac buen estado.,499,Componentes PC,iMac,pantalla,iMac,Usado (No especificado),Económico,Lima Centro
S/80,consola de videojuegos retro,"santiago de surco, lm",https://www.facebook.com/marketplace/item/1647428553277381/,consola de videojuegos retro,80,Consolas/Realidad Virtual,Otro/Genérico,Consola,Otro,Usado (No especificado),Económico,Santiago De Surco
S/180,playstation classic,"jesús maría, lm",https://www.facebook.com/marketplace/item/1504502149954786/,playstation classic,180,Consolas/Realidad Virtual,Sony,Consola,PlayStation,Usado (No especificado),Económico,Jesús María
S/1.250,xiaomi 14t 12gb ram 512gb memoria 10/1,"san borja, lm",https://www.facebook.com/marketplace/item/1912538499630742/,xiaomi 14t 12gb ram 512gb memoria 10/1,1250,Dispositivos móviles,Xiaomi,Smartphone,Xiaomi 14T,Usado (No especificado),Estándar,San Borja
S/1.700,iphone 13pro max 128 gb,"villa el salvador, lm",https://www.facebook.com/marketplace/item/4090970947870525/,iphone 13pro max 128 gb,1700,Dispositivos móviles,Apple,Smartphone,iPhone 13,Usado (No especificado),Estándar,Villa El Salvador
S/1.650,iphone 16 e 128 gb,"la victoria, lm",https://www.facebook.com/marketplace/item/884604834312764/,iphone 16 e 128 gb,1650,Dispositivos móviles,Apple,Smartphone,iPhone,Usado (No especificado),Estándar,La Victoria
S/350,vendo redmi note 13 pro 8+8,"villa el salvador, lm",https://www.facebook.com/marketplace/item/1877532596222319/,vendo redmi note 13 pro 8+8,350,Dispositivos móviles,Xiaomi,Smartphone,Redmi Note 13 Pro,Usado (No especificado),Económico,Villa El Salvador
S/700,redmi note 14 pro 5g,"villa el salvador, lm",https://www.facebook.com/marketplace/item/1575986563693405/,redmi note 14 pro 5g,700,Dispositivos móviles,Xiaomi,Smartphone,Redmi Note 14 Pro,Usado (No especificado),Económico,Villa El Salvador
S/820,pc gamer potente core i7 perfecta para gaming y estudio,"jesús maría, lm",https://www.facebook.com/marketplace/item/1402552351612667/,pc gamer potente core i7 perfecta para gaming y estudio,820,Laptops/PC,Otro/Genérico,Computadora,Otro,Usado (No especificado),Estándar,Jesús María
S/1.600,iphone15 pro,"el agustino, lm",https://www.facebook.com/marketplace/item/917913070706956/,iphone15 pro,1600,Dispositivos móviles,Apple,Smartphone,iPhone 15 Pro,Usado (No especificado),Estándar,El Agustino
S/400,dap hi fi shanling m0,"la victoria, lm",https://www.facebook.com/marketplace/item/26513309231599628/,dap hi fi shanling m0,400,Reproductores de Audio,Shanling,Reproductor de Audio,Shanling,Usado (No especificado),Económico,La Victoria
S/280,rams xpg y t force 3200mhz ddr4 32gb ram,"villa el salvador, lm",https://www.facebook.com/marketplace/item/1946674352596006/,rams xpg y t force 3200mhz ddr4 32gb ram,280,Componentes PC,Otro/Genérico,Memoria Ram,Otro,Usado (No especificado),Económico,Villa El Salvador
S/750,laptop honor magicbook x15 bbr-wai9 gris 💻🔥,"lima, lm",https://www.facebook.com/marketplace/item/740194058909180/,laptop honor magicbook x15 bbr-wai9 gris 💻🔥,750,Laptops/PC,Honor,Laptop,Honor,Usado (No especificado),Económico,Lima Centro
S/200,grafica gtx 1660 super 8gb,callao,https://www.facebook.com/marketplace/item/1664266017894946/,grafica gtx 1660 super 8gb,200,Componentes PC,Otro/Genérico,Tarjeta gráfica,Otro,Usado (No especificado),Económico,Callao
S/2.000,pc gamer completa,"comas, lm",https://www.facebook.com/marketplace/item/1541501886904957/,pc gamer completa,2000,Laptops/PC,Otro/Genérico,Computadora,Otro,Usado (No especificado),Estándar,Comas
S/415,iphone 13,"santiago de surco, lm",https://www.facebook.com/marketplace/item/1998926404016425/,iphone 13,415,Dispositivos móviles,Apple,Smartphone,iPhone 13,Usado (No especificado),Económico,Santiago De Surco
S/150,laptop toshiba con bateria 1hora y 40 minutos,"villa maría del triunfo, lm",https://www.facebook.com/marketplace/item/1443844024119484/,laptop toshiba con bateria 1hora y 40 minutos,150,Energía y Adaptadores,Otro/Genérico,Bateria,Otro,Usado (No especificado),Económico,Villa María Del Triunfo
S/700,samsung 4k uhd 55 pulgadas,"villa el salvador, lm",https://www.facebook.com/marketplace/item/1786122352056427/,samsung 4k uhd 55 pulgadas,700,Televisores,Samsung,Televisor,Samsung Neo QLED 4K,Usado (No especificado),Económico,Villa El Salvador
S/500,laptop hp probook remató,"la victoria, lm",https://www.facebook.com/marketplace/item/1964473821135232/,laptop hp probook remató,500,Laptops/PC,HP,Laptop,HP,Usado (No especificado),Económico,La Victoria
S/480,redmi note 14.pro.5g.256lligas.coje cualquier chip.detalle glas rajado,"villa maría del triunfo, lm",https://www.facebook.com/marketplace/item/25128745393469478/,redmi note 14.pro.5g.256lligas.coje cualquier chip.detalle glas rajado,480,Dispositivos móviles,Xiaomi,Smartphone,redmi,Usado (No especificado),Económico,Villa María Del Triunfo
S/79,autoradio clarion 90,"villa maría del triunfo, lm",https://www.facebook.com/marketplace/item/1672139567103407/,autoradio clarion 90,79,Equipos de sonido,Otro/Genérico,Autoradio,Otro,Usado (No especificado),Económico,Villa María Del Triunfo
S/80,vendo mis iphone 4s,"la victoria, lm",https://www.facebook.com/marketplace/item/25660746656915900/,vendo mis iphone 4s,80,Dispositivos móviles,Apple,Smartphone,iPhone,Usado (No especificado),Económico,La Victoria
S/1.550,ipad pro m4 13” 256gb detalle,"ventanilla, lima, peru",https://www.facebook.com/marketplace/item/4399231223694052/,ipad pro m4 13” 256gb detalle,1550,Dispositivos móviles,Apple,Tablet,iPad Pro,Usado (No especificado),Estándar,Ventanilla
S/450,iphone 11 128gb,"la victoria, lm",https://www.facebook.com/marketplace/item/1939060133355290/,iphone 11 128gb,450,Dispositivos móviles,Apple,Smartphone,iPhone 11,Usado (No especificado),Económico,La Victoria
S/1.850,iphone 15 128 gb,"barranco, lm",https://www.facebook.com/marketplace/item/1389143302666679/,iphone 15 128 gb,1850,Dispositivos móviles,Apple,Smartphone,iPhone,Usado (No especificado),Estándar,Barranco
S/700,impresora ricoh,"santiago de surco, lm",https://www.facebook.com/marketplace/item/2011550943096975/,impresora ricoh,700,Impresora/Escáner,Ricoh,Impresora,Ricoh,Usado (No especificado),Económico,Santiago De Surco
S/2.000,vendo iphone 16 color negro,"jesús maría, lm",https://www.facebook.com/marketplace/item/898690599295140/,vendo iphone 16 color negro,2000,Dispositivos móviles,Apple,Smartphone,iPhone,Usado (No especificado),Estándar,Jesús María
S/2.200,vendo iphone 15 pro max titanium negro 512gb esim,"rimac, lm",https://www.facebook.com/marketplace/item/1030686396787320/,vendo iphone 15 pro max titanium negro 512gb esim,2200,Dispositivos móviles,Apple,Smartphone,iPhone 15 Pro Max,Usado (No especificado),Estándar,Rimac
S/230,rx570 gráfica ( precio negociable),"ventanilla, lima, peru",https://www.facebook.com/marketplace/item/2436007690186111/,rx570 gráfica ( precio negociable),230,Componentes PC,Otro/Genérico,Tarjeta gráfica,Otro,Usado (No especificado),Económico,Ventanilla
S/400,se vende playstation 3,"san juan de lurigancho, lm",https://www.facebook.com/marketplace/item/893202290081868/,se vende playstation 3,400,Consolas/Realidad Virtual,Sony,Consola,PlayStation,Usado (No especificado),Económico,San Juan De Lurigancho
S/1.800,iphone 14 pro 128gb,"san martín de porres, lm",https://www.facebook.com/marketplace/item/4263462793969242/,iphone 14 pro 128gb,1800,Dispositivos móviles,Apple,Smartphone,iPhone 14 Pro,Usado (No especificado),Estándar,San Martín De Porres
S/2.500,vendo cambio samsung s24 ultra,"lima, lm",https://www.facebook.com/marketplace/item/1719891099414945/,vendo cambio samsung s24 ultra,2500,Dispositivos móviles,Samsung,Smartphone,Galaxy S24 Ultra,Usado (No especificado),Estándar,Lima Centro
S/5.000,17 pro max,"lurigancho, lm",https://www.facebook.com/marketplace/item/760630880423408/,17 pro max,5000,Dispositivos móviles,Apple,Smartphone,iPhone 17 Pro Max,Usado (No especificado),Premium,Lurigancho
S/850,laptop huawei notebook,"santiago de surco, lm",https://www.facebook.com/marketplace/item/878448434826272/,laptop huawei notebook,850,Dispositivos móviles,Huawei,Smartphone,Huawei,Usado (No especificado),Estándar,Santiago De Surco
S/200,tv lg smart,"la victoria, lm",https://www.facebook.com/marketplace/item/919675627482114/,tv lg smart,200,Equipos de sonido,LG,Barras de sonido,LG S,Usado (No especificado),Económico,La Victoria
S/60,"huawei band 9 1.47"" pulsera reloj inteligente sports smartwatch rose","magdalena del mar, lm",https://www.facebook.com/marketplace/item/1157644766536263/,"huawei band 9 1.47"" pulsera reloj inteligente sports smartwatch rose",60,Dispositivos móviles,Huawei,Smartphone,Huawei,Usado (No especificado),Económico,Magdalena Del Mar
S/585,iphone.13,"puente piedra, lm",https://www.facebook.com/marketplace/item/1577272126936975/,iphone.13,585,Dispositivos móviles,Apple,Smartphone,iPhone,Usado (No especificado),Económico,Puente Piedra
S/899,playstation 4 pro,"la victoria, lm",https://www.facebook.com/marketplace/item/1269701258364869/,playstation 4 pro,899,Consolas/Realidad Virtual,Sony,Consola,PlayStation,Usado (No especificado),Estándar,La Victoria
S/4.999,pc gamer + periféricos,"los olivos, lm",https://www.facebook.com/marketplace/item/2059860114856738/,pc gamer + periféricos,4999,Laptops/PC,Otro/Genérico,Computadora,Otro,Usado (No especificado),Premium,Los Olivos
S/120,"vendo tv miray 32"" pulgadas led no es smartv","la victoria, lm",https://www.facebook.com/marketplace/item/1990929911464784/,"vendo tv miray 32"" pulgadas led no es smartv",120,Equipos de sonido,Miray,Sistema de sonido,Miray SAM,Usado (No especificado),Económico,La Victoria
S/950,iphone 13 de 128gb,"carabayllo, lm",https://www.facebook.com/marketplace/item/1934172547170372/,iphone 13 de 128gb,950,Dispositivos móviles,Apple,Smartphone,iPhone 13,Usado (No especificado),Estándar,Carabayllo
S/1.200,laptop táctil,"san martín de porres, lm",https://www.facebook.com/marketplace/item/759543560540773/,laptop táctil,1200,Laptops/PC,Otro/Genérico,Laptop,Otro,Usado (No especificado),Estándar,San Martín De Porres
S/2.000,iphone 16,"ate, lm",https://www.facebook.com/marketplace/item/1101194468732346/,iphone 16,2000,Dispositivos móviles,Apple,Smartphone,iPhone,Usado (No especificado),Estándar,Ate
S/170,audífonos vengar pokémon,"san luis, lm",https://www.facebook.com/marketplace/item/2139276956922585/,audífonos vengar pokémon,170,Audífonos,Otro/Genérico,Audífonos,Otro,Usado (No especificado),Económico,San Luis
S/99,airpods pro case guess,"miraflores, lm",https://www.facebook.com/marketplace/item/2182638515810299/,airpods pro case guess,99,Audífonos,Apple,Audífonos True Wireless,AirPods Pro,Usado (No especificado),Económico,Miraflores
S/120,camara seguridad 4k alarma sensor 2026,"san martín de porres, lm",https://www.facebook.com/marketplace/item/1273274971516060/,camara seguridad 4k alarma sensor 2026,120,Cámaras Fotográfica/Video,Otro/Genérico,Cámara,Otro,Usado (No especificado),Económico,San Martín De Porres
S/2.800,s25 ultra 256,"chilca, lm",https://www.facebook.com/marketplace/item/25766290426370326/,s25 ultra 256,2800,Dispositivos móviles,Samsung,Smartphone,Galaxy S25 Ultra,Usado (No especificado),Estándar,Chilca
S/650,laptop asus intel core i7 nvidia 4 gb gtx,"san luis, lm",https://www.facebook.com/marketplace/item/1178463880764106/,laptop asus intel core i7 nvidia 4 gb gtx,650,Laptops/PC,Asus,Laptop,Asus,Usado (No especificado),Económico,San Luis
